pm10,pm2_5,so2,co,o3,no2,kualitas
0.5138888888888888,0.35200000000000004,0.43999999999999995,0.22916666666666669,0.49397590361445787,0.4565217391304347,0.0
0.7361111111111112,0.6320000000000001,0.52,0.22916666666666669,0.5963855421686747,0.5,1.0
0.6388888888888888,0.48800000000000004,0.48,0.25,0.4337349397590362,0.5,1.0
0.5138888888888888,0.336,0.40000000000000013,0.20833333333333331,0.3855421686746988,0.4347826086956521,0.0
0.6388888888888888,0.47200000000000003,0.43999999999999995,0.16666666666666669,0.4036144578313253,0.30434782608695654,0.0
0.8194444444444444,0.808,0.56,0.25,0.6867469879518072,0.3913043478260869,1.0
0.611111111111111,0.5840000000000001,0.52,0.16666666666666669,0.4156626506024097,0.4782608695652174,1.0
0.8333333333333333,0.72,0.56,0.16666666666666669,0.16265060240963858,0.4130434782608695,1.0
0.6666666666666666,0.504,0.56,0.14583333333333331,0.1807228915662651,0.3695652173913043,1.0
0.5416666666666666,0.48000000000000004,0.56,0.14583333333333331,0.21084337349397592,0.32608695652173914,0.0
0.5416666666666666,0.416,0.56,0.125,0.24096385542168675,0.3913043478260869,0.0
0.5555555555555556,0.36800000000000005,0.56,0.14583333333333331,0.25903614457831325,0.4347826086956521,0.0
0.4722222222222222,0.312,0.56,0.14583333333333331,0.24698795180722893,0.4347826086956521,0.0
0.48611111111111105,0.432,0.52,0.14583333333333331,0.1987951807228916,0.4130434782608695,0.0
0.4722222222222222,0.34400000000000003,0.52,0.20833333333333331,0.14457831325301207,0.5869565217391304,0.0
0.6944444444444444,0.456,0.52,0.3541666666666667,0.21084337349397592,0.8478260869565217,0.0
0.5555555555555556,0.39999999999999997,0.52,0.1875,0.13253012048192775,0.3913043478260869,0.0
0.6388888888888888,0.5760000000000001,0.52,0.20833333333333331,0.16265060240963858,0.5652173913043478,1.0
0.5972222222222222,0.56,0.56,0.2916666666666667,0.13253012048192775,0.7608695652173912,1.0
0.6527777777777778,0.5840000000000001,0.56,0.20833333333333331,0.18674698795180722,0.4782608695652174,1.0
0.6805555555555556,0.5840000000000001,0.56,0.2916666666666667,0.1686746987951807,0.5869565217391304,1.0
0.6527777777777778,0.504,0.56,0.25,0.20481927710843373,0.6304347826086956,1.0
0.5416666666666666,0.48000000000000004,0.56,0.22916666666666669,0.22289156626506024,0.5869565217391304,0.0
0.7638888888888888,0.6160000000000001,0.56,0.3958333333333333,0.11445783132530123,0.717391304347826,1.0
0.611111111111111,0.5840000000000001,0.6400000000000001,0.22916666666666669,0.16265060240963858,0.6956521739130435,1.0
0.5,0.328,0.6000000000000001,0.22916666666666669,0.1807228915662651,0.5652173913043478,0.0
0.41666666666666663,0.312,0.6000000000000001,0.22916666666666669,0.12048192771084339,0.4565217391304347,0.0
0.5694444444444444,0.38399999999999995,0.56,0.2708333333333333,0.13253012048192775,0.608695652173913,0.0
0.45833333333333326,0.25600000000000006,0.43999999999999995,0.3125,0.1566265060240964,0.717391304347826,0.0
0.6666666666666666,0.408,0.48,0.43749999999999994,0.10240963855421688,0.8043478260869564,0.0
0.5277777777777778,0.37600000000000006,0.43999999999999995,0.3958333333333333,0.10240963855421688,0.8478260869565217,0.0
0.4444444444444444,0.312,0.48,0.16666666666666669,0.13855421686746988,0.32608695652173914,0.0
0.5555555555555556,0.36800000000000005,0.56,0.10416666666666669,0.1686746987951807,0.23913043478260868,0.0
0.5,0.52,0.56,0.16666666666666669,0.1807228915662651,0.3695652173913043,1.0
0.26388888888888884,0.288,0.52,0.041666666666666685,0.10843373493975904,0.1739130434782609,0.0
0.5694444444444444,0.49600000000000005,0.52,0.22916666666666669,0.13253012048192775,0.5434782608695652,1.0
0.6666666666666666,0.544,0.56,0.2916666666666667,0.12048192771084339,0.5652173913043478,1.0
0.2222222222222222,0.02400000000000002,0.56,0.08333333333333334,0.07228915662650602,0.23913043478260868,0.0
0.05555555555555558,0.10399999999999998,0.56,0.041666666666666685,0.09036144578313253,0.28260869565217395,0.0
0.25,0.136,0.52,0.0625,0.09638554216867472,0.26086956521739124,0.0
0.4027777777777778,0.20800000000000002,0.56,0.08333333333333334,0.1807228915662651,0.32608695652173914,0.0
0.48611111111111105,0.336,0.56,0.25,0.14457831325301207,0.7608695652173912,0.0
0.4027777777777778,0.21600000000000003,0.52,0.1875,0.09638554216867472,0.4565217391304347,0.0
0.611111111111111,0.38399999999999995,0.56,0.43749999999999994,0.1927710843373494,0.8478260869565217,0.0
0.5694444444444444,0.416,0.56,0.3125,0.16265060240963858,0.8260869565217391,0.0
0.5,0.312,0.52,0.1875,0.1807228915662651,0.6304347826086956,0.0
0.45833333333333326,0.36000000000000004,0.56,0.125,0.23493975903614456,0.4130434782608695,0.0
0.5416666666666666,0.424,0.56,0.25,0.22289156626506024,0.6521739130434782,0.0
0.4444444444444444,0.304,0.56,0.125,0.25903614457831325,0.4565217391304347,0.0
0.611111111111111,0.432,0.52,0.43749999999999994,0.1927710843373494,0.8478260869565217,0.0
0.5555555555555556,0.408,0.6000000000000001,0.20833333333333331,0.23493975903614456,0.6521739130434782,0.0
0.6527777777777778,0.456,0.6800000000000002,0.4166666666666667,0.1746987951807229,0.7826086956521738,0.0
0.75,0.688,0.56,0.3333333333333333,0.26506024096385544,0.8478260869565217,1.0
0.4305555555555556,0.27199999999999996,0.52,0.14583333333333331,0.13855421686746988,0.4130434782608695,0.0
0.48611111111111105,0.44,0.52,0.3541666666666667,0.14457831325301207,0.6304347826086956,0.0
0.16666666666666669,0.16799999999999998,0.52,0.20833333333333331,0.07831325301204821,0.4130434782608695,0.0
0.38888888888888884,0.20800000000000002,0.6400000000000001,0.20833333333333331,0.12048192771084339,0.608695652173913,0.0
0.5277777777777778,0.39199999999999996,0.56,0.2708333333333333,0.14457831325301207,0.5652173913043478,0.0
0.38888888888888884,0.22400000000000003,0.52,0.3125,0.12650602409638556,0.7826086956521738,0.0
0.611111111111111,0.464,0.56,0.16666666666666669,0.1506024096385542,0.5869565217391304,0.0
0.45833333333333326,0.288,0.56,0.22916666666666669,0.13855421686746988,0.6304347826086956,0.0
